IdAcademico,IdAlumno,IdSocial,SEMESTRE,NCURSOSMATRICULADOS,NCREDITOSMATRICULADOS,NCREDITOSAPROBADOS,NCREDITOSDESAPROBADOS,PROMEDIOPORCICLO,NOMBRESEDE,NOMBREESCUELA,UBIGEONACIMIENTO,EDAD,DIRECCION,ESTADOCIVIL,DEUDA,MODALIDADINGRESO,PUNTAJEINGRESO,TIPOCOLEGIO,LUGARCOLEGIO,ANOEGRESOCOLEGIO,SEXO,TIPOVIVIENDADONDEVIVE,REGIMENTENENCIAVIVIENDADONDEVIVE,VIVESUPADRE,VIVESUMADRE,PERSONASCONQUIENESVIVE,NIVELEDUCATIVOPADRE,NIVELEDUCATIVOMADRE,TRABAJASUPADRE,ESPECIFIQUEOCUPACIONPRINCIPALDESUPADRE,TRABAJASUMADRE,ESPECIFIQUEOCUPACIONPRINCIPALDESUMADRE,TIENECONOCIMIENTOSENCOMPUTACION,COMPUTADORAQUEUTILIZAFRECUENTEMENTEES,FINANCIAMIENTODESUSESTUDIOSUNIVERSITARIOS
26,3,3,2010-C,3,11,7,4,10,CUSCO,CONTABILIDAD,OTROS UBIGEO,A,WANCHAQ,SOLTERO(A),CUARTA CATEGORIA,EXAMEN ADMISION ORDINARIO,ESPERADO,PUBLICA,OTROS DISTRITOS,Z,MASCULINO,CASA INDEPENDIENTE,OTRO,SI,SI,OTROS PARIENTES,SUP. UNIV. INCOMPLETA,SECUNDARIA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
27,3,3,2011-1,6,21,21,0,15,CUSCO,CONTABILIDAD,OTROS UBIGEO,A,WANCHAQ,SOLTERO(A),CUARTA CATEGORIA,EXAMEN ADMISION ORDINARIO,ESPERADO,PUBLICA,OTROS DISTRITOS,Z,MASCULINO,CASA INDEPENDIENTE,OTRO,SI,SI,OTROS PARIENTES,SUP. UNIV. INCOMPLETA,SECUNDARIA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
28,3,3,2011-2,6,22,14,8,11,CUSCO,CONTABILIDAD,OTROS UBIGEO,A,WANCHAQ,SOLTERO(A),CUARTA CATEGORIA,EXAMEN ADMISION ORDINARIO,ESPERADO,PUBLICA,OTROS DISTRITOS,Z,MASCULINO,CASA INDEPENDIENTE,OTRO,SI,SI,OTROS PARIENTES,SUP. UNIV. INCOMPLETA,SECUNDARIA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
29,3,3,2011-3,6,22,15,7,14,CUSCO,CONTABILIDAD,OTROS UBIGEO,A,WANCHAQ,SOLTERO(A),CUARTA CATEGORIA,EXAMEN ADMISION ORDINARIO,ESPERADO,PUBLICA,OTROS DISTRITOS,Z,MASCULINO,CASA INDEPENDIENTE,OTRO,SI,SI,OTROS PARIENTES,SUP. UNIV. INCOMPLETA,SECUNDARIA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
30,3,3,2012-1,6,22,10,12,9,CUSCO,CONTABILIDAD,OTROS UBIGEO,A,WANCHAQ,SOLTERO(A),CUARTA CATEGORIA,EXAMEN ADMISION ORDINARIO,ESPERADO,PUBLICA,OTROS DISTRITOS,Z,MASCULINO,CASA INDEPENDIENTE,OTRO,SI,SI,OTROS PARIENTES,SUP. UNIV. INCOMPLETA,SECUNDARIA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
31,3,3,2012-2,6,22,15,7,12,CUSCO,CONTABILIDAD,OTROS UBIGEO,A,WANCHAQ,SOLTERO(A),CUARTA CATEGORIA,EXAMEN ADMISION ORDINARIO,ESPERADO,PUBLICA,OTROS DISTRITOS,Z,MASCULINO,CASA INDEPENDIENTE,OTRO,SI,SI,OTROS PARIENTES,SUP. UNIV. INCOMPLETA,SECUNDARIA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
32,3,3,2013-1,6,22,14,8,12,CUSCO,CONTABILIDAD,OTROS UBIGEO,A,WANCHAQ,SOLTERO(A),CUARTA CATEGORIA,EXAMEN ADMISION ORDINARIO,ESPERADO,PUBLICA,OTROS DISTRITOS,Z,MASCULINO,CASA INDEPENDIENTE,OTRO,SI,SI,OTROS PARIENTES,SUP. UNIV. INCOMPLETA,SECUNDARIA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
33,3,3,2013-2,6,22,14,8,13,CUSCO,CONTABILIDAD,OTROS UBIGEO,A,WANCHAQ,SOLTERO(A),CUARTA CATEGORIA,EXAMEN ADMISION ORDINARIO,ESPERADO,PUBLICA,OTROS DISTRITOS,Z,MASCULINO,CASA INDEPENDIENTE,OTRO,SI,SI,OTROS PARIENTES,SUP. UNIV. INCOMPLETA,SECUNDARIA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
34,3,3,2013-3,6,22,8,14,13,CUSCO,CONTABILIDAD,OTROS UBIGEO,A,WANCHAQ,SOLTERO(A),CUARTA CATEGORIA,EXAMEN ADMISION ORDINARIO,ESPERADO,PUBLICA,OTROS DISTRITOS,Z,MASCULINO,CASA INDEPENDIENTE,OTRO,SI,SI,OTROS PARIENTES,SUP. UNIV. INCOMPLETA,SECUNDARIA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
35,3,3,2014-1,6,22,6,16,11,CUSCO,CONTABILIDAD,OTROS UBIGEO,A,WANCHAQ,SOLTERO(A),CUARTA CATEGORIA,EXAMEN ADMISION ORDINARIO,ESPERADO,PUBLICA,OTROS DISTRITOS,Z,MASCULINO,CASA INDEPENDIENTE,OTRO,SI,SI,OTROS PARIENTES,SUP. UNIV. INCOMPLETA,SECUNDARIA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
36,3,3,2014-2,6,22,0,22,10,CUSCO,CONTABILIDAD,OTROS UBIGEO,A,WANCHAQ,SOLTERO(A),CUARTA CATEGORIA,EXAMEN ADMISION ORDINARIO,ESPERADO,PUBLICA,OTROS DISTRITOS,Z,MASCULINO,CASA INDEPENDIENTE,OTRO,SI,SI,OTROS PARIENTES,SUP. UNIV. INCOMPLETA,SECUNDARIA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
37,3,3,2015-1,5,20,4,16,8,CUSCO,CONTABILIDAD,OTROS UBIGEO,A,WANCHAQ,SOLTERO(A),CUARTA CATEGORIA,EXAMEN ADMISION ORDINARIO,ESPERADO,PUBLICA,OTROS DISTRITOS,Z,MASCULINO,CASA INDEPENDIENTE,OTRO,SI,SI,OTROS PARIENTES,SUP. UNIV. INCOMPLETA,SECUNDARIA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
38,4,4,2010-1,6,21,21,0,15,CUSCO,CONTABILIDAD,OTROS UBIGEO,C,WANCHAQ,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,ESPERADO,PUBLICA,OTROS DISTRITOS,X,FEMENINO,CASA INDEPENDIENTE,ALQUILADA,SI,SI,SOLO(A),ESTUDIOS TECNICOS NO UNIVERSITARIOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,DEPENDIENTE,NO,NaN,SI,PROPIA,SUS PADRES
39,4,4,2010-2,6,21,21,0,15,CUSCO,CONTABILIDAD,OTROS UBIGEO,C,WANCHAQ,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,ESPERADO,PUBLICA,OTROS DISTRITOS,X,FEMENINO,CASA INDEPENDIENTE,ALQUILADA,SI,SI,SOLO(A),ESTUDIOS TECNICOS NO UNIVERSITARIOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,DEPENDIENTE,NO,NaN,SI,PROPIA,SUS PADRES
40,4,4,2010-C,3,11,7,4,14,CUSCO,CONTABILIDAD,OTROS UBIGEO,C,WANCHAQ,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,ESPERADO,PUBLICA,OTROS DISTRITOS,X,FEMENINO,CASA INDEPENDIENTE,ALQUILADA,SI,SI,SOLO(A),ESTUDIOS TECNICOS NO UNIVERSITARIOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,DEPENDIENTE,NO,NaN,SI,PROPIA,SUS PADRES
41,4,4,2011-1,6,22,6,16,8,CUSCO,CONTABILIDAD,OTROS UBIGEO,C,WANCHAQ,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,ESPERADO,PUBLICA,OTROS DISTRITOS,X,FEMENINO,CASA INDEPENDIENTE,ALQUILADA,SI,SI,SOLO(A),ESTUDIOS TECNICOS NO UNIVERSITARIOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,DEPENDIENTE,NO,NaN,SI,PROPIA,SUS PADRES
42,4,4,2011-2,6,22,15,7,12,CUSCO,CONTABILIDAD,OTROS UBIGEO,C,WANCHAQ,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,ESPERADO,PUBLICA,OTROS DISTRITOS,X,FEMENINO,CASA INDEPENDIENTE,ALQUILADA,SI,SI,SOLO(A),ESTUDIOS TECNICOS NO UNIVERSITARIOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,DEPENDIENTE,NO,NaN,SI,PROPIA,SUS PADRES
43,4,4,2011-3,6,22,0,22,6,CUSCO,CONTABILIDAD,OTROS UBIGEO,C,WANCHAQ,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,ESPERADO,PUBLICA,OTROS DISTRITOS,X,FEMENINO,CASA INDEPENDIENTE,ALQUILADA,SI,SI,SOLO(A),ESTUDIOS TECNICOS NO UNIVERSITARIOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,DEPENDIENTE,NO,NaN,SI,PROPIA,SUS PADRES
44,4,4,2012-1,6,22,4,18,6,CUSCO,CONTABILIDAD,OTROS UBIGEO,C,WANCHAQ,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,ESPERADO,PUBLICA,OTROS DISTRITOS,X,FEMENINO,CASA INDEPENDIENTE,ALQUILADA,SI,SI,SOLO(A),ESTUDIOS TECNICOS NO UNIVERSITARIOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,DEPENDIENTE,NO,NaN,SI,PROPIA,SUS PADRES
45,4,4,2012-2,6,22,3,19,6,CUSCO,CONTABILIDAD,OTROS UBIGEO,C,WANCHAQ,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,ESPERADO,PUBLICA,OTROS DISTRITOS,X,FEMENINO,CASA INDEPENDIENTE,ALQUILADA,SI,SI,SOLO(A),ESTUDIOS TECNICOS NO UNIVERSITARIOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,DEPENDIENTE,NO,NaN,SI,PROPIA,SUS PADRES
46,4,4,2013-1,6,22,10,12,10,CUSCO,CONTABILIDAD,OTROS UBIGEO,C,WANCHAQ,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,ESPERADO,PUBLICA,OTROS DISTRITOS,X,FEMENINO,CASA INDEPENDIENTE,ALQUILADA,SI,SI,SOLO(A),ESTUDIOS TECNICOS NO UNIVERSITARIOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,DEPENDIENTE,NO,NaN,SI,PROPIA,SUS PADRES
47,4,4,2013-2,5,19,7,12,6,CUSCO,CONTABILIDAD,OTROS UBIGEO,C,WANCHAQ,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,ESPERADO,PUBLICA,OTROS DISTRITOS,X,FEMENINO,CASA INDEPENDIENTE,ALQUILADA,SI,SI,SOLO(A),ESTUDIOS TECNICOS NO UNIVERSITARIOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,DEPENDIENTE,NO,NaN,SI,PROPIA,SUS PADRES
48,4,4,2013-3,5,20,12,8,13,CUSCO,CONTABILIDAD,OTROS UBIGEO,C,WANCHAQ,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,ESPERADO,PUBLICA,OTROS DISTRITOS,X,FEMENINO,CASA INDEPENDIENTE,ALQUILADA,SI,SI,SOLO(A),ESTUDIOS TECNICOS NO UNIVERSITARIOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,DEPENDIENTE,NO,NaN,SI,PROPIA,SUS PADRES
49,4,4,2014-1,6,22,22,0,15,CUSCO,CONTABILIDAD,OTROS UBIGEO,C,WANCHAQ,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,ESPERADO,PUBLICA,OTROS DISTRITOS,X,FEMENINO,CASA INDEPENDIENTE,ALQUILADA,SI,SI,SOLO(A),ESTUDIOS TECNICOS NO UNIVERSITARIOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,DEPENDIENTE,NO,NaN,SI,PROPIA,SUS PADRES
50,4,4,2014-2,6,22,15,7,13,CUSCO,CONTABILIDAD,OTROS UBIGEO,C,WANCHAQ,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,ESPERADO,PUBLICA,OTROS DISTRITOS,X,FEMENINO,CASA INDEPENDIENTE,ALQUILADA,SI,SI,SOLO(A),ESTUDIOS TECNICOS NO UNIVERSITARIOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,DEPENDIENTE,NO,NaN,SI,PROPIA,SUS PADRES
51,4,4,2015-1,6,22,15,7,13,CUSCO,CONTABILIDAD,OTROS UBIGEO,C,WANCHAQ,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,ESPERADO,PUBLICA,OTROS DISTRITOS,X,FEMENINO,CASA INDEPENDIENTE,ALQUILADA,SI,SI,SOLO(A),ESTUDIOS TECNICOS NO UNIVERSITARIOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,DEPENDIENTE,NO,NaN,SI,PROPIA,SUS PADRES
